name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Kane Richardson,31,Australia,29,141,50,22,357,314,22,12,55,138,3011,4010,178
Thomas Rogers,23,Australia,0,1,1,0,32,25,4,1,0,0,0,0,0
Tom Rogers,27,Australia,0,25,11,4,76,79,5,3,4,25,542,759,29
Alex Ross,29,Australia,0,82,70,17,1546,1206,111,53,33,0,0,0,0
Patrick Rowe,21,Australia,0,1,1,0,3,6,0,0,1,0,0,0,0
Chris Sabburg,32,Australia,0,12,7,2,69,83,3,1,8,1,6,5,0
Daniel Sams,29,Australia,6,73,58,12,682,451,38,46,26,71,1438,2024,87
Gurinder Sandhu,28,Australia,0,64,19,11,63,68,5,1,16,63,1240,1682,62
Jason Sangha,22,Australia,0,25,23,5,623,504,47,18,11,7,60,85,4
Tanveer Sangha,20,Australia,0,27,5,3,19,25,2,0,6,27,528,662,37
James Seymour,29,Australia,0,9,8,2,112,91,10,4,0,3,30,28,0
Peter Siddle,37,Australia,2,90,26,14,52,72,4,1,18,89,1868,2344,108
Jordan Silk,29,Australia,0,97,78,22,1654,1332,115,29,52,0,0,0,0
Steven Smith,32,Australia,54,226,198,42,4682,3740,413,105,130,52,824,1056,54
Mitchell Starc,32,Australia,50,113,39,19,196,206,15,2,36,112,2493,3081,157
Mark Steketee,28,Australia,0,61,31,9,169,167,10,7,20,61,1286,1909,78
Marcus Stoinis,32,Australia,39,182,163,44,3826,2861,331,136,45,108,1537,2278,81
Will Sutherland,22,Australia,0,29,20,5,117,114,4,6,7,23,321,517,13
Mitchell Swepson,28,Australia,7,61,24,11,83,83,6,2,18,59,1262,1585,64
Henry Thornton,25,Australia,0,9,2,2,0,0,0,0,2,9,187,271,14
Ashton Turner,29,Australia,18,131,112,26,1888,1393,118,80,44,39,363,433,20
Andrew Tye,35,Australia,32,182,74,28,522,432,34,27,59,179,3918,5256,251
Matthew Wade,34,Australia,59,173,149,23,3359,2463,270,119,104,0,0,0,0
Charlie Wakim,30,Australia,0,4,4,0,90,82,11,1,2,1,6,18,0
David Warner,35,Australia,88,313,312,39,10308,7317,1005,389,149,2,7,15,0
Jake Weatherald,27,Australia,0,82,81,5,2029,1576,200,79,31,0,0,0,0
Beau Webster,28,Australia,0,53,43,12,857,695,60,26,32,15,216,275,2
Jonathan Wells,33,Australia,0,123,114,34,2774,2260,239,46,41,3,13,22,0
Sam Whiteman,29,Australia,0,45,40,3,653,537,63,17,28,0,0,0,0
Jack Wildermuth,28,Australia,2,56,33,4,308,261,11,17,10,56,1045,1467,42
Jack Wood,25,Australia,0,2,2,0,14,16,0,1,0,2,24,41,2
Daniel Worrall,30,Australia,0,57,24,13,155,129,14,4,14,56,1166,1575,45
Adam Zampa,29,Australia,60,202,64,27,228,262,19,3,29,198,4257,5163,237
Macalister Wright,24,Australia,0,12,11,2,199,177,12,6,6,2,30,53,1
Abbas Musa,22,Bangladesh,0,13,11,0,202,171,22,12,3,0,0,0,0
Abdul Gaffar,28,Bangladesh,0,4,0,0,0,0,0,0,0,4,54,78,1
Abdul Halim,23,Bangladesh,0,2,1,0,3,9,0,0,0,2,30,50,2
Abdul Kayium,23,Bangladesh,0,4,3,1,12,11,2,0,1,3,42,65,1
Abdul Mazid,31,Bangladesh,0,23,23,0,395,382,27,17,2,0,0,0,0
Abdur Rashid,34,Bangladesh,0,8,1,1,2,1,0,0,1,7,132,178,10
Abu Hider,26,Bangladesh,13,80,39,20,320,283,23,16,33,77,1415,2005,63
Abu Jayed,28,Bangladesh,3,77,19,14,49,43,6,1,8,74,1348,1820,78
Afif Hossain,22,Bangladesh,39,121,108,14,2027,1633,180,82,48,56,588,852,29
Akbar Ali,20,Bangladesh,0,35,26,7,393,306,23,19,25,0,0,0,0
Aks Swadhin,19,Bangladesh,0,7,3,2,13,11,2,0,2,7,120,193,7
Al Islam,25,Bangladesh,0,18,7,4,48,40,4,1,3,16,336,377,11
Al-Amin,28,Bangladesh,0,51,42,7,573,491,55,17,12,20,193,256,9
Alauddin Babu,30,Bangladesh,0,59,39,16,401,302,23,23,20,47,806,1176,41
Alok Kapali,38,Bangladesh,7,110,82,24,1047,985,80,32,24,68,977,1238,51
Aminul Islam,22,Bangladesh,10,28,15,8,87,92,9,1,6,26,464,594,24
Amit Majumder,31,Bangladesh,0,4,3,1,10,14,0,0,2,0,0,0,0
Amite Hasan,20,Bangladesh,0,2,1,0,4,9,0,0,1,0,0,0,0
Anamul Haque,29,Bangladesh,13,144,139,10,2942,2485,255,116,81,0,0,0,0
Anisul Islam Emon,24,Bangladesh,0,24,24,1,570,480,62,15,11,10,124,191,10
Arafat Sunny,35,Bangladesh,10,132,50,25,225,263,18,3,38,129,2483,2853,126
Ariful Haque,29,Bangladesh,9,106,84,23,1272,1100,79,40,52,18,202,323,10
Asaduzzaman Payel,23,Bangladesh,0,14,1,0,4,2,1,0,2,12,229,294,11
Asif Ahmed,29,Bangladesh,0,20,14,1,184,170,20,4,7,16,205,263,7
Asif Hasan,28,Bangladesh,0,22,11,7,37,43,4,0,2,20,390,440,16
Avishek Mitra,29,Bangladesh,0,5,5,0,45,44,4,2,1,0,0,0,0
Azmir Ahmed,26,Bangladesh,0,11,9,0,109,97,10,6,4,0,0,0,0
Delwar Hossain,37,Bangladesh,0,14,8,3,41,38,6,1,1,14,271,370,15
Dhiman Ghosh,34,Bangladesh,1,39,29,2,403,417,28,7,34,0,0,0,0
Ebadot Hossain,28,Bangladesh,0,43,13,10,26,33,1,1,8,43,915,1193,42
Elias Sunny,36,Bangladesh,7,74,35,15,229,231,18,6,26,71,1359,1577,72
Enamul Haque jnr,35,Bangladesh,0,61,18,10,32,47,1,0,7,58,1162,1250,65
Fardeen Hasan,24,Bangladesh,0,7,7,0,109,103,7,4,1,0,0,0,0
Farhad Hossain,35,Bangladesh,0,35,28,9,376,385,31,8,13,15,216,244,9
Farhad Reza,35,Bangladesh,13,144,89,18,898,730,63,42,61,132,2396,3332,113
Fazle Mahmud,34,Bangladesh,0,46,40,4,799,736,64,30,7,3,30,50,0
Habibur Rahman,34,Bangladesh,0,6,4,1,15,25,1,0,2,5,66,100,4
Hamidul Islam,26,Bangladesh,0,9,1,1,8,6,0,1,2,9,155,204,6
Hasan Murad,20,Bangladesh,0,13,4,1,6,7,1,0,1,12,222,225,11
Hasanuzzaman,30,Bangladesh,0,23,21,0,377,277,37,20,3,0,0,0,0
Hossain Ali,23,Bangladesh,0,7,2,1,1,9,0,0,0,7,132,200,10
Ifran Hossain,25,Bangladesh,0,11,4,3,20,16,2,1,1,11,227,299,13
Iftekhar Sajjad,30,Bangladesh,0,8,1,0,8,11,1,0,1,7,120,150,3
Imran Ali,28,Bangladesh,0,2,0,0,0,0,0,0,0,2,24,42,1
Imran Uzzaman,27,Bangladesh,0,21,18,2,296,228,26,17,16,0,0,0,0
Imrul Kayes,35,Bangladesh,14,149,146,12,3115,2665,271,125,65,3,30,33,0
Imtiaz Hossain,36,Bangladesh,0,17,17,0,336,273,37,9,5,0,0,0,0
Irfan Sukkur,28,Bangladesh,0,39,35,5,580,479,51,21,22,0,0,0,0
Isharul Islam,27,Bangladesh,0,5,5,1,71,68,6,3,0,1,6,13,0
Jahurul Islam,35,Bangladesh,3,124,115,20,1912,1668,155,65,61,0,0,0,0
Jaker Ali,23,Bangladesh,0,35,28,7,412,352,24,17,19,0,0,0,0
Jashimuddin,26,Bangladesh,0,5,5,0,19,32,1,0,2,0,0,0,0
Jony Talukdar,28,Bangladesh,0,7,5,0,31,41,4,0,0,0,0,0,0
Joyraz Sheik,25,Bangladesh,0,7,5,1,69,78,6,2,3,0,0,0,0
Jubair Hossain,26,Bangladesh,1,11,3,1,11,17,1,0,4,10,156,222,4
Junaid Siddique,34,Bangladesh,7,78,77,3,1489,1225,154,46,15,0,0,0,0
Kamrul Islam,30,Bangladesh,0,75,26,13,139,121,9,7,15,73,1362,1955,91
Khaled Ahmed,29,Bangladesh,0,36,5,3,22,26,1,1,6,36,760,980,45
Litton Das,27,Bangladesh,46,141,136,6,2899,2325,299,82,89,0,0,0,0
Mahedi Hasan,27,Bangladesh,29,105,73,12,1224,973,100,63,31,101,1992,2303,87
Mahidul Islam Ankon,22,Bangladesh,0,38,33,8,406,341,17,23,35,0,0,0,0
Mahmudul Hasan,31,Bangladesh,0,42,31,4,443,481,38,8,13,26,324,420,6
Mahmudul Hasan Joy,21,Bangladesh,0,30,26,4,747,629,65,24,9,0,0,0,0
Mahmudullah,36,Bangladesh,113,276,253,52,5106,4293,384,166,118,191,2736,3209,129
Manik Khan,25,Bangladesh,0,13,3,2,13,11,1,0,2,11,189,214,9
Marshall Ayub,33,Bangladesh,0,44,37,4,568,553,40,12,16,4,34,33,5
Mashrafe Mortaza,38,Bangladesh,54,171,109,29,1050,807,70,65,35,167,3635,4544,157
Masum Khan,34,Bangladesh,0,13,10,3,171,104,12,10,5,13,223,317,7
Mehedi Hasan,20,Bangladesh,0,4,0,0,0,0,0,0,0,4,84,119,3
Mehedi Hasan Rana,25,Bangladesh,0,35,9,6,17,17,3,0,9,34,696,975,50
Mehedi Maruf,33,Bangladesh,0,52,49,3,861,785,79,40,15,0,0,0,0
Mehidy Hasan Miraz,24,Bangladesh,13,98,83,13,1120,1004,104,35,41,94,1771,2230,68
Mehrab Hossain,30,Bangladesh,0,7,6,1,49,60,2,2,3,5,90,145,4
Minhajul Abedin,24,Bangladesh,0,2,2,0,6,9,0,0,0,0,0,0,0
Minhajul Abedin Afridi,23,Bangladesh,0,7,1,1,1,1,0,0,3,6,111,102,6
Mizanur Rahman,30,Bangladesh,0,37,34,4,743,614,77,26,12,0,0,0,0
Mohaiminul Khan,31,Bangladesh,0,15,11,5,115,107,7,3,3,7,120,129,5
Arafat Sunny jnr,27,Bangladesh,0,7,7,2,106,99,9,4,2,4,60,87,2
Mohammad Ashraful,37,Bangladesh,23,87,82,6,1694,1477,182,36,24,26,371,488,25
Mohammad Enamul,35,Bangladesh,0,23,14,6,188,154,9,13,9,16,262,309,11
Mohammad Mithun,30,Bangladesh,17,161,141,22,2787,2347,189,108,69,1,6,5,1
Mohammad Naim,22,Bangladesh,32,85,82,7,1928,1749,167,62,40,0,0,0,0
Mohammad Rakib,23,Bangladesh,0,7,5,1,83,99,5,2,0,0,0,0,0
Saddam Hossain,26,Bangladesh,0,11,5,1,10,19,2,0,2,11,154,242,7
Mohammad Saifuddin,25,Bangladesh,29,88,47,18,423,355,31,17,17,87,1835,2381,115
